# generated with code/opcodes.py
1:0x0 : ...
1:0x1 : 01                   	.byte 0x1
1:0x42 : 42                   	rex.X
1:0x43 : 43                   	rex.XB
1:0x44 : 44                   	rex.R
1:0x45 : 45                   	rex.RB
1:0x46 : 46                   	rex.RX
1:0x47 : 47                   	rex.RXB
1:0x48 : 48                   	rex.W
1:0x49 : 49                   	rex.WB
1:0x4a : 4a                   	rex.WX
1:0x4b : 4b                   	rex.WXB
1:0x4c : 4c                   	rex.WR
1:0x4d : 4d                   	rex.WRB
1:0x4e : 4e                   	rex.WRX
1:0x4f : 4f                   	rex.WRXB
1:0x50 : 50                   	push   %rax
1:0x51 : 51                   	push   %rcx
1:0x52 : 52                   	push   %rdx
1:0x53 : 53                   	push   %rbx
1:0x54 : 54                   	push   %rsp
1:0x55 : 55                   	push   %rbp
1:0x56 : 56                   	push   %rsi
1:0x57 : 57                   	push   %rdi
1:0x58 : 58                   	pop    %rax
1:0x59 : 59                   	pop    %rcx
1:0x5a : 5a                   	pop    %rdx
1:0x5b : 5b                   	pop    %rbx
1:0x5c : 5c                   	pop    %rsp
1:0x5d : 5d                   	pop    %rbp
1:0x5e : 5e                   	pop    %rsi
1:0x5f : 5f                   	pop    %rdi
1:0x60 : 60                   	(bad)
1:0x61 : 61                   	(bad)
1:0x62 : 62                   	.byte 0x62
1:0x63 : 63                   	.byte 0x63
1:0x64 : 64                   	fs
1:0x65 : 65                   	gs
1:0x66 : 66                   	data16
1:0x67 : 67                   	addr32
1:0x68 : 68                   	.byte 0x68
1:0x69 : 69                   	.byte 0x69
1:0x6a : 6a                   	.byte 0x6a
1:0x6b : 6b                   	.byte 0x6b
1:0x6c : 6c                   	insb   (%dx),%es
1:0x6d : 6d                   	insl   (%dx),%es
1:0x6e : 6e                   	outsb  %ds
1:0x6f : 6f                   	outsl  %ds
1:0x70 : 70                   	.byte 0x70
1:0x71 : 71                   	.byte 0x71
1:0x72 : 72                   	.byte 0x72
1:0x73 : 73                   	.byte 0x73
1:0x74 : 74                   	.byte 0x74
1:0x75 : 75                   	.byte 0x75
1:0x76 : 76                   	.byte 0x76
1:0x77 : 77                   	.byte 0x77
1:0x78 : 78                   	.byte 0x78
1:0x79 : 79                   	.byte 0x79
1:0x7a : 7a                   	.byte 0x7a
1:0x7b : 7b                   	.byte 0x7b
1:0x7c : 7c                   	.byte 0x7c
1:0x7d : 7d                   	.byte 0x7d
1:0x7e : 7e                   	.byte 0x7e
1:0x7f : 7f                   	.byte 0x7f
1:0x80 : 80                   	.byte 0x80
1:0x81 : 81                   	.byte 0x81
1:0x82 : 82                   	.byte 0x82
1:0x83 : 83                   	.byte 0x83
1:0x84 : 84                   	.byte 0x84
1:0x85 : 85                   	.byte 0x85
1:0x86 : 86                   	.byte 0x86
1:0x87 : 87                   	.byte 0x87
1:0x88 : 88                   	.byte 0x88
1:0x89 : 89                   	.byte 0x89
1:0x8a : 8a                   	.byte 0x8a
1:0x8b : 8b                   	.byte 0x8b
1:0x8c : 8c                   	.byte 0x8c
1:0x8d : 8d                   	.byte 0x8d
1:0x8e : 8e                   	.byte 0x8e
1:0x8f : 8f                   	.byte 0x8f
1:0x90 : 90                   	nop
1:0x91 : 91                   	xchg   %eax,%ecx
1:0x92 : 92                   	xchg   %eax,%edx
1:0x93 : 93                   	xchg   %eax,%ebx
1:0x94 : 94                   	xchg   %eax,%esp
1:0x95 : 95                   	xchg   %eax,%ebp
1:0x96 : 96                   	xchg   %eax,%esi
1:0x97 : 97                   	xchg   %eax,%edi
1:0x98 : 98                   	cwtl
1:0x99 : 99                   	cltd
1:0x9a : 9a                   	(bad)
1:0x9b : 9b                   	fwait
1:0x9c : 9c                   	pushfq
1:0x9d : 9d                   	popfq
1:0x9e : 9e                   	sahf
1:0x9f : 9f                   	lahf
1:0xa0 : a0                   	.byte 0xa0
1:0xa1 : a1                   	.byte 0xa1
1:0xa2 : a2                   	.byte 0xa2
1:0xa3 : a3                   	.byte 0xa3
1:0xa4 : a4                   	movsb  %ds
1:0xa5 : a5                   	movsl  %ds
1:0xa6 : a6                   	cmpsb  %es
1:0xa7 : a7                   	cmpsl  %es
1:0xa8 : a8                   	.byte 0xa8
1:0xa9 : a9                   	.byte 0xa9
1:0xaa : aa                   	stos   %al,%es
1:0xab : ab                   	stos   %eax,%es
1:0xac : ac                   	lods   %ds
1:0xad : ad                   	lods   %ds
1:0xae : ae                   	scas   %es
1:0xaf : af                   	scas   %es
1:0xb0 : b0                   	.byte 0xb0
1:0xb1 : b1                   	.byte 0xb1
1:0xb2 : b2                   	.byte 0xb2
1:0xb3 : b3                   	.byte 0xb3
1:0xb4 : b4                   	.byte 0xb4
1:0xb5 : b5                   	.byte 0xb5
1:0xb6 : b6                   	.byte 0xb6
1:0xb7 : b7                   	.byte 0xb7
1:0xb8 : b8                   	.byte 0xb8
1:0xb9 : b9                   	.byte 0xb9
1:0xba : ba                   	.byte 0xba
1:0xbb : bb                   	.byte 0xbb
1:0xbc : bc                   	.byte 0xbc
1:0xbd : bd                   	.byte 0xbd
1:0xbe : be                   	.byte 0xbe
1:0xbf : bf                   	.byte 0xbf
1:0xc0 : c0                   	.byte 0xc0
1:0xc1 : c1                   	.byte 0xc1
1:0xc2 : c2                   	.byte 0xc2
1:0xc3 : c3                   	retq
1:0xc4 : c4                   	.byte 0xc4
1:0xc5 : c5                   	.byte 0xc5
1:0xc6 : c6                   	.byte 0xc6
1:0xc7 : c7                   	.byte 0xc7
1:0xc8 : c8                   	.byte 0xc8
1:0xc9 : c9                   	leaveq
1:0xca : ca                   	.byte 0xca
1:0xcb : cb                   	lret
1:0xcc : cc                   	int3
1:0xcd : cd                   	.byte 0xcd
1:0xce : ce                   	(bad)
1:0xcf : cf                   	iret
1:0xd0 : d0                   	.byte 0xd0
1:0xd1 : d1                   	.byte 0xd1
1:0xd2 : d2                   	.byte 0xd2
1:0xd3 : d3                   	.byte 0xd3
1:0xd4 : d4                   	(bad)
1:0xd5 : d5                   	(bad)
1:0xd6 : d6                   	(bad)
1:0xd7 : d7                   	xlat   %ds
1:0xd8 : d8                   	.byte 0xd8
1:0xd9 : d9                   	.byte 0xd9
1:0xda : da                   	.byte 0xda
1:0xdb : db                   	.byte 0xdb
1:0xdc : dc                   	.byte 0xdc
1:0xdd : dd                   	.byte 0xdd
1:0xde : de                   	.byte 0xde
1:0xdf : df                   	.byte 0xdf
1:0xe0 : e0                   	.byte 0xe0
1:0xe1 : e1                   	.byte 0xe1
1:0xe2 : e2                   	.byte 0xe2
1:0xe3 : e3                   	.byte 0xe3
1:0xe4 : e4                   	.byte 0xe4
1:0xe5 : e5                   	.byte 0xe5
1:0xe6 : e6                   	.byte 0xe6
1:0xe7 : e7                   	.byte 0xe7
1:0xe8 : e8                   	.byte 0xe8
1:0xe9 : e9                   	.byte 0xe9
1:0xea : ea                   	(bad)
1:0xeb : eb                   	.byte 0xeb
1:0xec : ec                   	in     (%dx),%al
1:0xed : ed                   	in     (%dx),%eax
1:0xee : ee                   	out    %al,(%dx)
1:0xef : ef                   	out    %eax,(%dx)
1:0xf0 : f0                   	lock
1:0xf1 : f1                   	icebp
1:0xf2 : f2                   	repnz
1:0xf3 : f3                   	repz
1:0xf4 : f4                   	hlt
1:0xf5 : f5                   	cmc
1:0xf6 : f6                   	.byte 0xf6
1:0xf7 : f7                   	.byte 0xf7
1:0xf8 : f8                   	clc
1:0xf9 : f9                   	stc
1:0xfa : fa                   	cli
1:0xfb : fb                   	sti
1:0xfc : fc                   	cld
1:0xfd : fd                   	std
1:0xfe : fe                   	.byte 0xfe
1:0xff : ff                   	.byte 0xff
2:0x0 : ...
2:0x1 : 01 01                	add    %eax,(%rcx)
2:0x2 : 02 02                	add    (%rdx),%al
2:0x3 : 03 03                	add    (%rbx),%eax
2:0x4 : 04 04                	add    $0x4,%al
2:0x5 : 05                   	.byte 0x5
2:0x6 : 06                   	(bad)
2:0x7 : 07                   	(bad)
2:0x8 : 08 08                	or     %cl,(%rax)
2:0x9 : 09 09                	or     %ecx,(%rcx)
2:0xa : 0a 0a                	or     (%rdx),%cl
2:0xb : 0b 0b                	or     (%rbx),%ecx
2:0xc : 0c 0c                	or     $0xc,%al
2:0xd : 0d                   	.byte 0xd
2:0xe : 0e                   	(bad)
2:0xf : 
2:0x10 : 10 10                	adc    %dl,(%rax)
2:0x11 : 11 11                	adc    %edx,(%rcx)
2:0x12 : 12 12                	adc    (%rdx),%dl
2:0x13 : 13 13                	adc    (%rbx),%edx
2:0x14 : 14 14                	adc    $0x14,%al
2:0x15 : 15                   	.byte 0x15
2:0x16 : 16                   	(bad)
2:0x17 : 17                   	(bad)
2:0x18 : 18 18                	sbb    %bl,(%rax)
2:0x19 : 19 19                	sbb    %ebx,(%rcx)
2:0x1a : 1a 1a                	sbb    (%rdx),%bl
2:0x1b : 1b 1b                	sbb    (%rbx),%ebx
2:0x1c : 1c 1c                	sbb    $0x1c,%al
2:0x1d : 1d                   	.byte 0x1d
2:0x1e : 1e                   	(bad)
2:0x1f : 1f                   	(bad)
2:0x20 : 20 20                	and    %ah,(%rax)
2:0x21 : 21 21                	and    %esp,(%rcx)
2:0x22 : 22 22                	and    (%rdx),%ah
2:0x23 : 23 23                	and    (%rbx),%esp
2:0x24 : 24 24                	and    $0x24,%al
2:0x25 : 25                   	.byte 0x25
2:0x26 : 26                   	es
2:0x27 : 27                   	(bad)
2:0x28 : 28 28                	sub    %ch,(%rax)
2:0x29 : 29 29                	sub    %ebp,(%rcx)
2:0x2a : 2a 2a                	sub    (%rdx),%ch
2:0x2b : 2b 2b                	sub    (%rbx),%ebp
2:0x2c : 2c 2c                	sub    $0x2c,%al
2:0x2d : 2d                   	.byte 0x2d
2:0x2e : 2e                   	cs
2:0x2f : 2f                   	(bad)
2:0x30 : 30 30                	xor    %dh,(%rax)
2:0x31 : 31 31                	xor    %esi,(%rcx)
2:0x32 : 32 32                	xor    (%rdx),%dh
2:0x33 : 33 33                	xor    (%rbx),%esi
2:0x34 : 34 34                	xor    $0x34,%al
2:0x35 : 35                   	.byte 0x35
2:0x36 : 36                   	ss
2:0x37 : 37                   	(bad)
2:0x38 : 38 38                	cmp    %bh,(%rax)
2:0x39 : 39 39                	cmp    %edi,(%rcx)
2:0x3a : 3a 3a                	cmp    (%rdx),%bh
2:0x3b : 3b 3b                	cmp    (%rbx),%edi
2:0x3c : 3c 3c                	cmp    $0x3c,%al
2:0x3d : 3d                   	.byte 0x3d
2:0x3e : 3e                   	ds
2:0x3f : 3f                   	(bad)
2:0x40 : 40                   	rex
2:0x41 : 41                   	rex.B
2:0x42 : 42                   	rex.X
2:0x43 : 43                   	rex.XB
2:0x44 : 44                   	rex.R
2:0x45 : 45                   	rex.RB
2:0x46 : 46                   	rex.RX
2:0x47 : 47                   	rex.RXB
2:0x48 : 48                   	rex.W
2:0x49 : 49                   	rex.WB
2:0x4a : 4a                   	rex.WX
2:0x4b : 4b                   	rex.WXB
2:0x4c : 4c                   	rex.WR
2:0x4d : 4d                   	rex.WRB
2:0x4e : 4e                   	rex.WRX
2:0x4f : 4f                   	rex.WRXB
2:0x50 : 50                   	push   %rax
2:0x51 : 51                   	push   %rcx
2:0x52 : 52                   	push   %rdx
2:0x53 : 53                   	push   %rbx
2:0x54 : 54                   	push   %rsp
2:0x55 : 55                   	push   %rbp
2:0x56 : 56                   	push   %rsi
2:0x57 : 57                   	push   %rdi
2:0x58 : 58                   	pop    %rax
2:0x59 : 59                   	pop    %rcx
2:0x5a : 5a                   	pop    %rdx
2:0x5b : 5b                   	pop    %rbx
2:0x5c : 5c                   	pop    %rsp
2:0x5d : 5d                   	pop    %rbp
2:0x5e : 5e                   	pop    %rsi
2:0x5f : 5f                   	pop    %rdi
2:0x60 : 60                   	(bad)
2:0x61 : 61                   	(bad)
2:0x62 : 62                   	.byte 0x62
2:0x63 : 63                   	.byte 0x63
2:0x64 : 64                   	fs
2:0x65 : 65                   	gs
2:0x66 : 66                   	data16
2:0x67 : 67                   	addr32
2:0x68 : 68                   	.byte 0x68
2:0x69 : 69                   	.byte 0x69
2:0x6a : 6a 6a                	pushq  $0x6a
2:0x6b : 6b                   	.byte 0x6b
2:0x6c : 6c                   	insb   (%dx),%es
2:0x6d : 6d                   	insl   (%dx),%es
2:0x6e : 6e                   	outsb  %ds
2:0x6f : 6f                   	outsl  %ds
2:0x70 : 70 70                	jo     4000f2 <_start+0x72>
2:0x71 : 71 71                	jno    4000f3 <_start+0x73>
2:0x72 : 72 72                	jb     4000f4 <_start+0x74>
2:0x73 : 73 73                	jae    4000f5 <_start+0x75>
2:0x74 : 74 74                	je     4000f6 <_start+0x76>
2:0x75 : 75 75                	jne    4000f7 <_start+0x77>
2:0x76 : 76 76                	jbe    4000f8 <_start+0x78>
2:0x77 : 77 77                	ja     4000f9 <_start+0x79>
2:0x78 : 78 78                	js     4000fa <_start+0x7a>
2:0x79 : 79 79                	jns    4000fb <_start+0x7b>
2:0x7a : 7a 7a                	jp     4000fc <_start+0x7c>
2:0x7b : 7b 7b                	jnp    4000fd <_start+0x7d>
2:0x7c : 7c 7c                	jl     4000fe <_start+0x7e>
2:0x7d : 7d 7d                	jge    4000ff <_start+0x7f>
2:0x7e : 7e 7e                	jle    400100 <_start+0x80>
2:0x7f : 7f 7f                	jg     400101 <_start+0x81>
2:0x80 : 80                   	.byte 0x80
2:0x81 : 81                   	.byte 0x81
2:0x82 : 82                   	.byte 0x82
2:0x83 : 83                   	.byte 0x83
2:0x84 : 84                   	.byte 0x84
2:0x85 : 85                   	.byte 0x85
2:0x86 : 86                   	.byte 0x86
2:0x87 : 87                   	.byte 0x87
2:0x88 : 88                   	.byte 0x88
2:0x89 : 89                   	.byte 0x89
2:0x8a : 8a                   	.byte 0x8a
2:0x8b : 8b                   	.byte 0x8b
2:0x8c : 8c                   	.byte 0x8c
2:0x8d : 8d                   	.byte 0x8d
2:0x8e : 8e                   	.byte 0x8e
2:0x8f : 8f                   	.byte 0x8f
2:0x90 : 90                   	nop
2:0x91 : 91                   	xchg   %eax,%ecx
2:0x92 : 92                   	xchg   %eax,%edx
2:0x93 : 93                   	xchg   %eax,%ebx
2:0x94 : 94                   	xchg   %eax,%esp
2:0x95 : 95                   	xchg   %eax,%ebp
2:0x96 : 96                   	xchg   %eax,%esi
2:0x97 : 97                   	xchg   %eax,%edi
2:0x98 : 98                   	cwtl
2:0x99 : 99                   	cltd
2:0x9a : 9a                   	(bad)
2:0x9b : 9b                   	fwait
2:0x9c : 9c                   	pushfq
2:0x9d : 9d                   	popfq
2:0x9e : 9e                   	sahf
2:0x9f : 9f                   	lahf
2:0xa0 : a0                   	.byte 0xa0
2:0xa1 : a1                   	.byte 0xa1
2:0xa2 : a2                   	.byte 0xa2
2:0xa3 : a3                   	.byte 0xa3
2:0xa4 : a4                   	movsb  %ds
2:0xa5 : a5                   	movsl  %ds
2:0xa6 : a6                   	cmpsb  %es
2:0xa7 : a7                   	cmpsl  %es
2:0xa8 : a8 a8                	test   $0xa8,%al
2:0xa9 : a9                   	.byte 0xa9
2:0xaa : aa                   	stos   %al,%es
2:0xab : ab                   	stos   %eax,%es
2:0xac : ac                   	lods   %ds
2:0xad : ad                   	lods   %ds
2:0xae : ae                   	scas   %es
2:0xaf : af                   	scas   %es
2:0xb0 : b0 b0                	mov    $0xb0,%al
2:0xb1 : b1 b1                	mov    $0xb1,%cl
2:0xb2 : b2 b2                	mov    $0xb2,%dl
2:0xb3 : b3 b3                	mov    $0xb3,%bl
2:0xb4 : b4 b4                	mov    $0xb4,%ah
2:0xb5 : b5 b5                	mov    $0xb5,%ch
2:0xb6 : b6 b6                	mov    $0xb6,%dh
2:0xb7 : b7 b7                	mov    $0xb7,%bh
2:0xb8 : b8                   	.byte 0xb8
2:0xb9 : b9                   	.byte 0xb9
2:0xba : ba                   	.byte 0xba
2:0xbb : bb                   	.byte 0xbb
2:0xbc : bc                   	.byte 0xbc
2:0xbd : bd                   	.byte 0xbd
2:0xbe : be                   	.byte 0xbe
2:0xbf : bf                   	.byte 0xbf
2:0xc0 : c0                   	.byte 0xc0
2:0xc1 : c1                   	.byte 0xc1
2:0xc2 : c2                   	.byte 0xc2
2:0xc3 : c3                   	retq
2:0xc4 : c4                   	.byte 0xc4
2:0xc5 : c5                   	.byte 0xc5
2:0xc6 : c6                   	.byte 0xc6
2:0xc7 : c7                   	.byte 0xc7
2:0xc8 : c8                   	.byte 0xc8
2:0xc9 : c9                   	leaveq
2:0xca : ca                   	.byte 0xca
2:0xcb : cb                   	lret
2:0xcc : cc                   	int3
2:0xcd : cd cd                	int    $0xcd
2:0xce : ce                   	(bad)
2:0xcf : cf                   	iret
2:0xd0 : d0 d0                	rcl    %al
2:0xd1 : d1 d1                	rcl    %ecx
2:0xd2 : d2 d2                	rcl    %cl,%dl
2:0xd3 : d3 d3                	rcl    %cl,%ebx
2:0xd4 : d4                   	(bad)
2:0xd5 : d5                   	(bad)
2:0xd6 : d6                   	(bad)
2:0xd7 : d7                   	xlat   %ds
2:0xd8 : d8 d8                	fcomp  %st(0)
2:0xd9 : d9 d9                	(bad)
2:0xda : da da                	fcmovu %st(2),%st
2:0xdb : db db                	fcmovnu %st(3),%st
2:0xdc : dc dc                	(bad)
2:0xdd : dd dd                	fstp   %st(5)
2:0xde : de de                	(bad)
2:0xdf : df df                	(bad)
2:0xe0 : e0 e0                	loopne 400062 <_start-0x1e>
2:0xe1 : e1 e1                	loope  400063 <_start-0x1d>
2:0xe2 : e2 e2                	loop   400064 <_start-0x1c>
2:0xe3 : e3 e3                	jrcxz  400065 <_start-0x1b>
2:0xe4 : e4 e4                	in     $0xe4,%al
2:0xe5 : e5 e5                	in     $0xe5,%eax
2:0xe6 : e6 e6                	out    %al,$0xe6
2:0xe7 : e7 e7                	out    %eax,$0xe7
2:0xe8 : e8                   	.byte 0xe8
2:0xe9 : e9                   	.byte 0xe9
2:0xea : ea                   	(bad)
2:0xeb : eb eb                	jmp    40006d <_start-0x13>
2:0xec : ec                   	in     (%dx),%al
2:0xed : ed                   	in     (%dx),%eax
2:0xee : ee                   	out    %al,(%dx)
2:0xef : ef                   	out    %eax,(%dx)
2:0xf0 : f0                   	lock
2:0xf1 : f1                   	icebp
2:0xf2 : f2                   	repnz
2:0xf3 : f3                   	repz
2:0xf4 : f4                   	hlt
2:0xf5 : f5                   	cmc
2:0xf6 : f6 f6                	div    %dh
2:0xf7 : f7 f7                	div    %edi
2:0xf8 : f8                   	clc
2:0xf9 : f9                   	stc
2:0xfa : fa                   	cli
2:0xfb : fb                   	sti
2:0xfc : fc                   	cld
2:0xfd : fd                   	std
2:0xfe : fe                   	.byte 0xfe
2:0xff : ff                   	.byte 0xff
3:0x0 : ...
3:0x1 : 01                   	.byte 0x1
3:0x2 : 02                   	.byte 0x2
3:0x3 : 03                   	.byte 0x3
3:0x4 : 04                   	.byte 0x4
3:0x5 : 05                   	.byte 0x5
3:0x6 : 06                   	(bad)
3:0x7 : 07                   	(bad)
3:0x8 : 08                   	.byte 0x8
3:0x9 : 09                   	.byte 0x9
3:0xa : 0a                   	.byte 0xa
3:0xb : 0b                   	.byte 0xb
3:0xc : 0c                   	.byte 0xc
3:0xd : 0d                   	.byte 0xd
3:0xe : 0e                   	(bad)
3:0xf : 
3:0x10 : 10                   	.byte 0x10
3:0x11 : 11                   	.byte 0x11
3:0x12 : 12                   	.byte 0x12
3:0x13 : 13                   	.byte 0x13
3:0x14 : 14                   	.byte 0x14
3:0x15 : 15                   	.byte 0x15
3:0x16 : 16                   	(bad)
3:0x17 : 17                   	(bad)
3:0x18 : 18                   	.byte 0x18
3:0x19 : 19                   	.byte 0x19
3:0x1a : 1a                   	.byte 0x1a
3:0x1b : 1b                   	.byte 0x1b
3:0x1c : 1c                   	.byte 0x1c
3:0x1d : 1d                   	.byte 0x1d
3:0x1e : 1e                   	(bad)
3:0x1f : 1f                   	(bad)
3:0x20 : 20                   	.byte 0x20
3:0x21 : 21                   	.byte 0x21
3:0x22 : 22                   	.byte 0x22
3:0x23 : 23                   	.byte 0x23
3:0x24 : 24                   	.byte 0x24
3:0x25 : 25                   	.byte 0x25
3:0x26 : 26                   	es
3:0x27 : 27                   	(bad)
3:0x28 : 28                   	.byte 0x28
3:0x29 : 29                   	.byte 0x29
3:0x2a : 2a                   	.byte 0x2a
3:0x2b : 2b                   	.byte 0x2b
3:0x2c : 2c                   	.byte 0x2c
3:0x2d : 2d                   	.byte 0x2d
3:0x2e : 2e                   	cs
3:0x2f : 2f                   	(bad)
3:0x30 : 30                   	.byte 0x30
3:0x31 : 31                   	.byte 0x31
3:0x32 : 32                   	.byte 0x32
3:0x33 : 33                   	.byte 0x33
3:0x34 : 34                   	.byte 0x34
3:0x35 : 35                   	.byte 0x35
3:0x36 : 36                   	ss
3:0x37 : 37                   	(bad)
3:0x38 : 38                   	.byte 0x38
3:0x39 : 39                   	.byte 0x39
3:0x3a : 3a                   	.byte 0x3a
3:0x3b : 3b                   	.byte 0x3b
3:0x3c : 3c                   	.byte 0x3c
3:0x3d : 3d                   	.byte 0x3d
3:0x3e : 3e                   	ds
3:0x3f : 3f                   	(bad)
3:0x40 : 40                   	rex
3:0x41 : 41                   	rex.B
3:0x42 : 42                   	rex.X
3:0x43 : 43                   	rex.XB
3:0x44 : 44                   	rex.R
3:0x45 : 45                   	rex.RB
3:0x46 : 46                   	rex.RX
3:0x47 : 47                   	rex.RXB
3:0x48 : 48                   	rex.W
3:0x49 : 49                   	rex.WB
3:0x4a : 4a                   	rex.WX
3:0x4b : 4b                   	rex.WXB
3:0x4c : 4c                   	rex.WR
3:0x4d : 4d                   	rex.WRB
3:0x4e : 4e                   	rex.WRX
3:0x4f : 4f                   	rex.WRXB
3:0x50 : 50                   	push   %rax
3:0x51 : 51                   	push   %rcx
3:0x52 : 52                   	push   %rdx
3:0x53 : 53                   	push   %rbx
3:0x54 : 54                   	push   %rsp
3:0x55 : 55                   	push   %rbp
3:0x56 : 56                   	push   %rsi
3:0x57 : 57                   	push   %rdi
3:0x58 : 58                   	pop    %rax
3:0x59 : 59                   	pop    %rcx
3:0x5a : 5a                   	pop    %rdx
3:0x5b : 5b                   	pop    %rbx
3:0x5c : 5c                   	pop    %rsp
3:0x5d : 5d                   	pop    %rbp
3:0x5e : 5e                   	pop    %rsi
3:0x5f : 5f                   	pop    %rdi
3:0x60 : 60                   	(bad)
3:0x61 : 61                   	(bad)
3:0x62 : 62                   	.byte 0x62
3:0x63 : 63 63 63             	movslq 0x63(%rbx),%esp
3:0x64 : 64                   	fs
3:0x65 : 65                   	gs
3:0x66 : 66                   	data16
3:0x67 : 67                   	addr32
3:0x68 : 68                   	.byte 0x68
3:0x69 : 69                   	.byte 0x69
3:0x6a : 6a                   	.byte 0x6a
3:0x6b : 6b                   	.byte 0x6b
3:0x6c : 6c                   	insb   (%dx),%es
3:0x6d : 6d                   	insl   (%dx),%es
3:0x6e : 6e                   	outsb  %ds
3:0x6f : 6f                   	outsl  %ds
3:0x70 : 70                   	.byte 0x70
3:0x71 : 71                   	.byte 0x71
3:0x72 : 72                   	.byte 0x72
3:0x73 : 73                   	.byte 0x73
3:0x74 : 74                   	.byte 0x74
3:0x75 : 75                   	.byte 0x75
3:0x76 : 76                   	.byte 0x76
3:0x77 : 77                   	.byte 0x77
3:0x78 : 78                   	.byte 0x78
3:0x79 : 79                   	.byte 0x79
3:0x7a : 7a                   	.byte 0x7a
3:0x7b : 7b                   	.byte 0x7b
3:0x7c : 7c                   	.byte 0x7c
3:0x7d : 7d                   	.byte 0x7d
3:0x7e : 7e                   	.byte 0x7e
3:0x7f : 7f                   	.byte 0x7f
3:0x80 : 80                   	.byte 0x80
3:0x81 : 81                   	.byte 0x81
3:0x82 : 82                   	.byte 0x82
3:0x83 : 83                   	.byte 0x83
3:0x84 : 84                   	.byte 0x84
3:0x85 : 85                   	.byte 0x85
3:0x86 : 86                   	.byte 0x86
3:0x87 : 87                   	.byte 0x87
3:0x88 : 88                   	.byte 0x88
3:0x89 : 89                   	.byte 0x89
3:0x8a : 8a                   	.byte 0x8a
3:0x8b : 8b                   	.byte 0x8b
3:0x8c : 8c                   	.byte 0x8c
3:0x8d : 8d                   	.byte 0x8d
3:0x8e : 8e                   	.byte 0x8e
3:0x8f : 8f                   	.byte 0x8f
3:0x90 : 90                   	nop
3:0x91 : 91                   	xchg   %eax,%ecx
3:0x92 : 92                   	xchg   %eax,%edx
3:0x93 : 93                   	xchg   %eax,%ebx
3:0x94 : 94                   	xchg   %eax,%esp
3:0x95 : 95                   	xchg   %eax,%ebp
3:0x96 : 96                   	xchg   %eax,%esi
3:0x97 : 97                   	xchg   %eax,%edi
3:0x98 : 98                   	cwtl
3:0x99 : 99                   	cltd
3:0x9a : 9a                   	(bad)
3:0x9b : 9b                   	fwait
3:0x9c : 9c                   	pushfq
3:0x9d : 9d                   	popfq
3:0x9e : 9e                   	sahf
3:0x9f : 9f                   	lahf
3:0xa0 : a0                   	.byte 0xa0
3:0xa1 : a1                   	.byte 0xa1
3:0xa2 : a2                   	.byte 0xa2
3:0xa3 : a3                   	.byte 0xa3
3:0xa4 : a4                   	movsb  %ds
3:0xa5 : a5                   	movsl  %ds
